创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(42) "1-0-0-广东万事泰集团有限公司-32"
string(39) "1-0-0-广州润盈贸易有限公司-32"
string(48) "1-0-0-广州市虎头电池集团有限公司-32"
string(45) "1-0-0-宁波瑞达国际经贸有限公司-32"
string(51) "1-0-0-上海昕润睿昌国际贸易有限公司-32"
string(42) "1-0-0-云南宸奥进出口有限公司-32"
string(39) "1-0-0-上海亨憬工贸有限公司-32"
string(45) "1-0-0-上海机械国际贸易有限公司-32"
string(45) "1-0-0-上海天歆国际贸易有限公司-32"
string(60) "1-0-0-长虹塑料集团英派瑞塑料股份有限公司-32"
string(42) "1-0-0-广州海葳特科技有限公司-32"
string(45) "1-0-0-黑龙江省林科木业有限公司-32"
string(42) "1-0-0-江门市朗杰经贸有限公司-32"
string(51) "1-0-0-江西省服装进出口有限责任公司-32"
string(39) "1-0-0-上海文博实业有限公司-33"
string(45) "1-0-0-中山欧铠塑胶电子有限公司-33"
string(45) "1-0-0-安徽亮亮电子科技有限公司-33"
string(45) "1-0-0-佛山市耀晴进出口有限公司-33"
string(48) "1-0-0-广州市山木电子产品有限公司-33"
string(63) "1-0-0-贵州省铜仁市爱能聚新能源科技有限公司-33"
string(45) "1-0-0-宁夏明迈特科工贸有限公司-33"
string(39) "1-0-0-曲靖农丰贸易有限公司-33"
string(39) "1-0-0-厦门诺雅工贸有限公司-33"
string(45) "1-0-0-浙江万安科技股份有限公司-33"
string(48) "1-0-0-浙江银茂进出口股份有限公司-33"
string(50) "1-0-0-中国机械进出口(集团)有限公司-33"
string(45) "1-0-0-中山市裕丰进出口有限公司-33"
string(48) "1-0-0-安吉大成太阳能科技有限公司-33"
string(51) "1-0-0-长春市新阳光木材产品有限公司-33"
string(48) "1-0-0-常州市尚友联谊电子有限公司-34"
string(48) "1-0-0-广州市汇鑫拓展贸易有限公司-34"
string(42) "1-0-0-广州中轻进出口有限公司-34"
string(42) "1-0-0-上海达纳进出口有限公司-34"
string(42) "1-0-0-盐城市对外贸易有限公司-34"
string(45) "1-0-0-中山市新达进出口有限公司-34"
string(48) "1-0-0-埃飞灵卫浴科技集团有限公司-34"
string(45) "1-0-0-安徽科苑门窗工程有限公司-34"
string(42) "1-0-0-安徽普丰进出口有限公司-34"
string(51) "1-0-0-黑龙江省禾润国际贸易有限公司-34"
string(61) "1-0-0-吉林省粮油食品进出口（集团)有限公司-34"
string(51) "1-0-0-宁波恒良国际经贸合作有限公司-34"
string(54) "1-0-0-四川省纺织品进出口有限责任公司-34"
string(51) "1-0-0-天津外总润东国际贸易有限公司-34"
string(51) "1-0-0-浙江阿波罗摩托车制造有限公司-34"
string(42) "1-0-0-成都美尔森科技有限公司-35"
string(48) "1-0-0-佛山市机灵电器科技有限公司-35"
string(42) "1-0-0-广东茶叶进出口有限公司-35"
string(51) "1-0-0-广州市奥迪诗音响科技有限公司-35"
string(45) "1-0-0-合肥惠科金扬科技有限公司-35"
string(48) "1-0-0-温州外贸工业品股份有限公司-35"
string(45) "1-0-0-镇江南泰对外经贸有限公司-35"
string(51) "1-0-0-东莞市天昱新能源科技有限公司-35"
string(51) "1-0-0-东莞市裕光进出口贸易有限公司-35"
string(45) "1-0-0-南京百顺云进出口有限公司-35"
string(42) "1-0-0-上海蝴蝶进出口有限公司-35"
string(42) "1-0-0-上海资泽进出口有限公司-35"
string(39) "1-0-0-宁波万时集团有限公司-35"
string(27) "1-0-0-浙江富春公司-35"
string(54) "1-0-0-重庆繁盛机电技术进出口有限公司-35"
string(42) "1-0-0-大连金阳进出口有限公司-36"
string(42) "1-0-0-佛山市栢格电器有限公司-36"
string(51) "1-0-0-佛山市家乐仕电器科技有限公司-36"
string(57) "1-0-0-佛山市南海昭盈进出口贸易有限公司-36"
string(45) "1-0-0-广东鼎能电器科技有限公司-36"
string(51) "1-0-0-广东省东莞机械进出口有限公司-36"
string(39) "1-0-0-广东雅洁五金有限公司-36"
string(33) "1-0-0-汇孚集团有限公司-36"
string(48) "1-0-0-江门市金泉家庭用品有限公司-36"
string(51) "1-0-0-乐歌人体工学科技股份有限公司-36"
string(39) "1-0-0-温岭市进出口有限公司-36"
string(54) "1-0-0-新华锦信贸环球国际贸易有限公司-36"
string(65) "1-0-0-中国(福建)对外贸易中心集团有限责任公司-36"
string(57) "1-0-0-中国广州国际经济技术合作有限公司-36"
string(48) "1-0-0-重庆凯联进出口贸易有限公司-36"
string(42) "1-0-0-重庆瑞奇曼贸易有限公司-37"
string(45) "1-0-0-北京瑞熙励创科贸有限公司-37"
string(51) "1-0-0-河南省新异进出口贸易有限公司-37"
string(42) "1-0-0-绵阳市安普电器有限公司-37"
string(51) "1-0-0-陕西新西美工具进出口有限公司-37"
string(45) "1-0-0-上海梵菲国际贸易有限公司-37"
string(42) "1-0-0-天津机电进出口有限公司-37"
string(45) "1-0-0-中国航空技术杭州有限公司-37"
string(42) "1-0-0-重庆维纳柯贸易有限公司-37"
string(48) "1-0-0-舟山市对外经济贸易有限公司-37"
string(45) "1-0-0-广东俊朗松田电器有限公司-37"
string(48) "1-0-0-广西金恒丰贸易有限责任公司-37"
string(42) "1-0-0-海南富乐华贸易有限公司-37"
string(51) "1-0-0-湖北金犁劳保科技股份有限公司-37"
string(42) "1-0-0-萝北县盛大贸易有限公司-37"
string(45) "1-0-0-宁波博菱电器股份有限公司-38"
string(45) "1-0-0-宁波市群安进出口有限公司-38"
string(42) "1-0-0-温岭市对外贸易有限公司-38"
string(48) "1-0-0-新疆恒裕沣国际贸易有限公司-38"
string(54) "1-0-0-浙江省国际贸易集团温州有限公司-38"
string(42) "1-0-0-珠海多力康贸易有限公司-38"
string(45) "1-0-0-安徽海洋电子科技有限公司-38"
string(60) "1-0-0-奥佳华智能健康科技集团股份有限公司-38"
string(45) "1-0-0-北京裕陶国际贸易有限公司-38"
string(48) "1-0-0-广东金莱特电器股份有限公司-38"
string(54) "1-0-0-广州市九安智能技术股份有限公司-38"
string(45) "1-0-0-广州市欧于美贸易有限公司-38"
string(48) "1-0-0-河北五矿进出口股份有限公司-38"
string(42) "1-0-0-江苏恒川进出口有限公司-38"
string(48) "1-0-0-兰州鑫达宇贸易有限责任公司-38"
string(39) "1-0-0-美的集团股份有限公司-39"
string(39) "1-0-0-宁波方太厨具有限公司-39"
string(48) "1-0-0-重庆鑫源摩托车股份有限公司-39"
string(45) "1-0-0-丰顺县新顺达电子有限公司-39"
string(51) "1-0-0-广州赫厉狮森汽车用品有限公司-39"
string(42) "1-0-0-广州西奥多科技有限公司-39"
string(45) "1-0-0-湖北金山轻工家电有限公司-39"
string(42) "1-0-0-厦门华闽进出口有限公司-39"
string(42) "1-0-0-山西索立得工贸有限公司-39"
string(51) "1-0-0-深圳市一达通企业服务有限公司-39"
string(45) "1-0-0-天津世纪五矿贸易有限公司-39"
string(54) "1-0-0-温州国贸云商供应链管理有限公司-39"
string(45) "1-0-0-中盐宁夏恒通贸易有限公司-39"
string(45) "1-0-0-北京圣林润景科贸有限公司-39"
string(42) "1-0-0-广东金奇进出口有限公司-39"
string(45) "1-0-0-广东省粤山进出口有限公司-40"
string(48) "1-0-0-广东五星太阳能股份有限公司-40"
string(39) "1-0-0-广州金濠贸易有限公司-40"
string(39) "1-0-0-南南铝业股份有限公司-40"
string(39) "1-0-0-上海美瑞实业有限公司-40"
string(42) "1-0-0-上海熙元进出口有限公司-40"
string(42) "1-0-0-深圳市海一电器有限公司-40"
string(45) "1-0-0-东莞市利浩德电子有限公司-40"
string(45) "1-0-0-广州祈信金属制品有限公司-40"
string(45) "1-0-0-广州市奥莉达电子有限公司-40"
string(42) "1-0-0-吉林省信达商贸有限公司-40"
string(54) "1-0-0-宁波联合集团进出口股份有限公司-40"
string(51) "1-0-0-青岛海容商用冷链股份有限公司-40"
string(54) "1-0-0-深圳市北鼎晶辉科技股份有限公司-40"
string(42) "1-0-0-安徽吉鑫祥科技有限公司-40"
string(48) "1-0-0-佛山市通和电子科技有限公司-41"
string(42) "1-0-0-佛山市星旭电子有限公司-41"
string(42) "1-0-0-佛山市扬升经贸有限公司-41"
string(51) "1-0-0-广东艾希机械对外合作有限公司-41"
string(33) "1-0-0-惠科股份有限公司-41"
string(44) "1-0-0-凯笛佳照明(深圳)有限公司-41"
string(48) "1-0-0-南京技术进出口有限责任公司-41"
string(42) "1-0-0-南京市对外贸易有限公司-41"
string(45) "1-0-0-欧派家居集团股份有限公司-41"
string(42) "1-0-0-深圳市点绿科技有限公司-41"
string(39) "1-0-0-西藏赛亚经贸服务公司-41"
string(39) "1-0-0-雄鹰投资集团有限公司-41"
string(39) "1-0-0-盐城经纬纺织有限公司-41"
string(51) "1-0-0-重庆诺信对外贸易发展有限公司-41"
string(47) "1-0-0-VONTEK ELEKTRONIK VE TICARET LTD. STI.-41"
string(48) "1-0-0-北京雨思进出口贸易有限公司-42"
string(39) "1-0-0-北京哲勤科技有限公司-42"
string(60) "1-0-0-成都天齐机械五矿进出口有限责任公司-42"
string(45) "1-0-0-贵州忠辉车辆制造有限公司-42"
string(57) "1-0-0-黑龙江龙宝机械进出口有限责任公司-42"
string(39) "1-0-0-江门外贸集团有限公司-42"
string(48) "1-0-0-辽阳东田进出口贸易有限公司-42"
string(48) "1-0-0-内蒙古北特通信有限责任公司-42"
string(42) "1-0-0-宁波敦煌进出口有限公司-42"
string(48) "1-0-0-上海电视电子进出口有限公司-42"
string(45) "1-0-0-上海市食品进出口有限公司-42"
string(42) "1-0-0-上海水仙进出口有限公司-42"
string(45) "1-0-0-上海一百国际贸易有限公司-42"
string(51) "1-0-0-安徽赛智工业防护用品有限公司-42"
string(48) "1-0-0-福州宏冠智圣进出口有限公司-42"
string(42) "1-0-0-广东家好美电器有限公司-43"
string(48) "1-0-0-哈尔滨今天伟业科贸有限公司-43"
string(45) "1-0-0-河南鼎隆贸易有限责任公司-43"
string(45) "1-0-0-湖南宸睿通讯科技有限公司-43"
string(45) "1-0-0-宁波舒佳国际贸易有限公司-43"
string(45) "1-0-0-深圳市迈悍德实业有限公司-43"
string(42) "1-0-0-温州市天罡贸易有限公司-43"
string(39) "1-0-0-宜宾和恒科技有限公司-43"
string(49) "1-0-0-DEIMA ELECTROMECHANIC PRODUCTS COM. INC.-43"
string(51) "1-0-0-佛山市德诚创玮进出口有限公司-43"
string(45) "1-0-0-抚顺龙飞节能科技有限公司-43"
string(47) "1-0-0-广一(天津)国际贸易有限公司-43"
string(42) "1-0-0-海南松洋进出口有限公司-43"
string(51) "1-0-0-南京斯卡兰德经贸实业有限公司-43"
string(39) "1-0-0-宁波邦首电器有限公司-43"
string(39) "1-0-0-深圳高迪数码有限公司-44"
string(66) "1-0-0-西宁五金矿产进出口集团有色金属有限公司-44"
string(39) "1-0-0-云南开红经贸有限公司-44"
string(48) "1-0-0-安徽法西欧汽车部件有限公司-44"
string(48) "1-0-0-慈溪市飞龙国际贸易有限公司-44"
string(39) "1-0-0-德清东凯实业有限公司-44"
string(63) "1-0-0-福建省泉州机械设备进出口有限责任公司-44"
string(39) "1-0-0-广东锦力电器有限公司-44"
string(51) "1-0-0-广东伟经日用五金制品有限公司-44"
string(42) "1-0-0-广州市森大贸易有限公司-44"
string(51) "1-0-0-湖北省佳信机械进出口有限公司-44"
string(48) "1-0-0-江苏创兰太阳能空调有限公司-44"
string(45) "1-0-0-深圳市聚瑞源贸易有限公司-44"
string(42) "1-0-0-深圳市苏源实业有限公司-44"
string(45) "1-0-0-西安澳玛专用机床有限公司-44"
string(45) "1-0-0-湘潭金正通源贸易有限公司-45"
string(42) "1-0-0-余姚市对外贸易有限公司-45"
string(39) "1-0-0-浙江安德电器有限公司-45"
string(45) "1-0-0-浙江省化工进出口有限公司-45"
string(63) "1-0-0-中国浙江国际经济技术合作有限责任公司-45"
string(39) "1-0-0-安徽华菱汽车有限公司-45"
string(45) "1-0-0-成都美思电子科技有限公司-45"
string(51) "1-0-0-佛山市爱普达电子科技有限公司-45"
string(60) "1-0-0-广东达俊美移动互联科技股份有限公司-45"
string(57) "1-0-0-广东顺德奥能光电科技股份有限公司-45"
string(51) "1-0-0-广东顺德宝尔顿进出口有限公司-45"
string(45) "1-0-0-广东西汇电器制造有限公司-45"
string(42) "1-0-0-广州市世博电器有限公司-45"
string(48) "1-0-0-黑龙江锦润国际贸易有限公司-45"
string(48) "1-0-0-全南县尚典科技发展有限公司-45"
string(39) "1-0-0-山西至正实业有限公司-46"
string(45) "1-0-0-深圳市奥特瑞实业有限公司-46"
string(57) "1-0-0-深圳市京弘全智能科技股份有限公司-46"
string(54) "1-0-0-随州市随都对外经济贸易有限公司-46"
string(42) "1-0-0-温州市益彰贸易有限公司-46"
string(54) "1-0-0-西安大洋五金矿产进出口有限公司-46"
string(42) "1-0-0-中山市利勤贸易有限公司-46"
string(45) "1-0-0-佛山纺织品进出口有限公司-46"
string(45) "1-0-0-广东四通集团股份有限公司-46"
string(42) "1-0-0-哈尔滨金狮经贸有限公司-46"
string(45) "1-0-0-杭州普仕达进出口有限公司-46"
string(45) "1-0-0-河北省机械设备进出口公司-46"
string(39) "1-0-0-河北中机合作有限公司-46"
string(48) "1-0-0-山东物博润生进出口有限公司-46"
string(45) "1-0-0-上海北方工业发展有限公司-46"
string(51) "1-0-0-浙江省仙居县华润贸易有限公司-47"
string(36) "1-0-0-ZILAN DIS TICARET LTD. STI.-47"
string(45) "1-0-0-安徽懋翔国际贸易有限公司-47"
string(48) "1-0-0-安徽中安进出口股份有限公司-47"
string(42) "1-0-0-北京速牢克化工制品中心-47"
string(48) "1-0-0-佛山市博亿达进出口有限公司-47"
string(51) "1-0-0-广州万宝集团民权电器有限公司-47"
string(54) "1-0-0-哈尔滨阿克托斯经济贸易有限公司-47"
string(45) "1-0-0-湖北三江船艇科技有限公司-47"
string(39) "1-0-0-华立集团股份有限公司-47"
string(45) "1-0-0-江苏鹏飞集团股份有限公司-47"
string(44) "1-0-0-茂鑫源电子(深圳)有限公司-47"
string(42) "1-0-0-山西景生润科技有限公司-47"
string(42) "1-0-0-上海其浩工艺品有限公司-47"
string(45) "1-0-0-西安至尊国际贸易有限公司-47"
string(42) "1-0-0-扬州金茂进出口有限公司-48"
string(45) "1-0-0-浙江涛涛车业股份有限公司-48"
string(45) "1-0-0-重庆润通动力制造有限公司-48"
string(45) "1-0-0-广西梧州口岸外贸有限公司-48"
string(39) "1-0-0-河北迈特贸易有限公司-48"
string(48) "1-0-0-湖南省双豹粮食机械有限公司-48"
string(42) "1-0-0-宁波大洲进出口有限公司-48"
string(54) "1-0-0-宁波英特赛电子安全设备有限公司-48"
string(39) "1-0-0-青岛华天车辆有限公司-48"
string(51) "1-0-0-厦门中汽东方实业发展有限公司-48"
string(42) "1-0-0-上海三进进出口有限公司-48"
string(42) "1-0-0-肇庆市佳衡电子有限公司-48"
string(48) "1-0-0-安徽省中电科贸有限责任公司-48"
string(45) "1-0-0-保定长安客车制造有限公司-48"
string(42) "1-0-0-北京金菱一科技有限公司-48"
string(57) "1-0-0-东莞市环彩工艺进出口贸易有限公司-49"
string(48) "1-0-0-佛山市嘉柏年进出口有限公司-49"
string(48) "1-0-0-广西东方伟业进出口有限公司-49"
string(48) "1-0-0-江苏省华宁国际技术贸易公司-49"
string(48) "1-0-0-宁波康加分电器科技有限公司-49"
string(48) "1-0-0-山西原瑞进出口贸易有限公司-49"
string(45) "1-0-0-上海恒益国际贸易有限公司-49"
string(45) "1-0-0-上海群木国际贸易有限公司-49"
string(45) "1-0-0-上海徐汇对外贸易有限公司-49"
string(48) "1-0-0-浙江公元太阳能科技有限公司-49"
string(45) "1-0-0-中国电子器材珠海有限公司-49"
string(60) "1-0-0-中国扬子集团滁州扬子空调器有限公司-49"
string(48) "1-0-0-中山市中粮外贸发展有限公司-49"
string(42) "1-0-0-珠海市皓华企业有限公司-49"
string(45) "1-0-0-北京佰能星空科技有限公司-49"
string(39) "1-0-0-博深工具股份有限公司-50"
string(48) "1-0-0-长沙义贸通百货贸易有限公司-50"
string(45) "1-0-0-常州欧翔斯达电子有限公司-50"
string(42) "1-0-0-东莞市光为电器有限公司-50"
string(51) "1-0-0-广州博冠光电科技股份有限公司-50"
string(39) "1-0-0-贵州厚诚科技有限公司-50"
string(42) "1-0-0-杭州金南工量具有限公司-50"
string(39) "1-0-0-杭州久祺工贸有限公司-50"
string(54) "1-0-0-黑龙江省东方溢彩工艺品有限公司-50"
string(39) "1-0-0-南通伟越电器有限公司-50"
string(54) "1-0-0-宁夏圣雪绒国际企业集团有限公司-50"
string(57) "1-0-0-上海上实国际贸易（集团）有限公司-50"
string(48) "1-0-0-深圳市高科时代科技有限公司-50"
string(42) "1-0-0-西安大东进出口有限公司-50"
string(45) "1-0-0-重庆艾德旺斯商贸有限公司-50"
string(51) "1-0-0-珠海优特电力科技股份有限公司-51"
string(54) "1-0-0-广东奥迪威传感科技股份有限公司-51"
string(42) "1-0-0-广东融纬通能源有限公司-51"
string(45) "1-0-0-江门市先锋进出口有限公司-51"
string(48) "1-0-0-江苏华隆兴机械工程有限公司-51"
string(63) "1-0-0-江苏省纺织工业（集团）进出口有限公司-51"
string(45) "1-0-0-宁波喜时达进出口有限公司-51"
string(45) "1-0-0-宁波至君和进出口有限公司-51"
string(42) "1-0-0-青岛英世齐商贸有限公司-51"
string(48) "1-0-0-台州市吉航船舶机电有限公司-51"
string(51) "1-0-0-万事达（杭州）咖啡机有限公司-51"
string(39) "1-0-0-温州市丰华家具五金厂-51"
string(48) "1-0-0-武汉联合劳森进出口有限公司-51"
string(45) "1-0-0-西安麦普国际经贸有限公司-51"
string(39) "1-0-0-重庆绎章贸易有限公司-51"
string(39) "1-0-0-安徽麦克国贸有限公司-52"
string(42) "1-0-0-安徽昭洋进出口有限公司-52"
string(39) "1-0-0-大连金孚贸易有限公司-52"
string(42) "1-0-0-大连实德进出口有限公司-52"
string(45) "1-0-0-福建瑞达精工股份有限公司-52"
string(42) "1-0-0-甘肃陇奥农产品有限公司-52"
string(57) "1-0-0-广东省南海轻工业品进出口有限公司-52"
string(45) "1-0-0-广州高德塑胶制品有限公司-52"
string(42) "1-0-0-吉林省固德经贸有限公司-52"
string(48) "1-0-0-江苏阳光东升进出口有限公司-52"
string(54) "1-0-0-牡丹江市天业进出口有限责任公司-52"
string(45) "1-0-0-上海山科园林工具有限公司-52"
string(45) "1-0-0-深圳市创义信电子有限公司-52"
string(42) "1-0-0-深圳市晶泓科技有限公司-52"
string(45) "1-0-0-深圳市强流明光电有限公司-52"
string(39) "1-0-0-四川省机械进出口公司-53"
string(45) "1-0-0-武汉博欧机械商务有限公司-53"
string(54) "1-0-0-中山市华艺灯饰照明股份有限公司-53"
string(48) "1-0-0-中山市双冠电器制品有限公司-53"
string(60) "1-0-0-重庆力帆实业（集团）进出口有限公司-53"
string(42) "1-0-0-珠海普乐美厨卫有限公司-53"
string(60) "1-0-0-BAHAT ELEKTRIKLI EV ALETLERI SAN.VE DIS TIC.LTD.STI-53"
string(24) "1-0-0-BMVA ELECTRONIC-53"
string(45) "1-0-0-安徽美博智能科技有限公司-53"
string(42) "1-0-0-安徽梯易优叉车有限公司-53"
string(45) "1-0-0-北海威德电子科技有限公司-53"
string(45) "1-0-0-常州市欧信进出口有限公司-53"
string(42) "1-0-0-成都春蕾鸣商贸有限公司-53"
string(51) "1-0-0-佛山市南海区对外贸易有限公司-53"
string(39) "1-0-0-广东穗名光电有限公司-53"
string(42) "1-0-0-广州保赐利化工有限公司-54"
string(69) "1-0-0-广州经济技术开发区建设进出口贸易有限公司-54"
string(48) "1-0-0-贵州永昌行厨房设备有限公司-54"
string(42) "1-0-0-杭州古北进出口有限公司-54"
string(51) "1-0-0-江门市江海区外经企业有限公司-54"
string(39) "1-0-0-莱克电气股份有限公司-54"
string(42) "1-0-0-美可达电子影像有限公司-54"
string(42) "1-0-0-厦门恒励进出口有限公司-54"
string(51) "1-0-0-深圳市开博视数码科技有限公司-54"
string(42) "1-0-0-台州市国际贸易有限公司-54"
string(45) "1-0-0-天津荣泰国际贸易有限公司-54"
string(42) "1-0-0-英德奥克莱电源有限公司-54"
string(45) "1-0-0-湛江阳和外贸服务有限公司-54"
string(51) "1-0-0-珠海亿商宝库跨境电商有限公司-54"
string(39) "1-0-0-安徽宜德电子有限公司-54"
string(42) "1-0-0-长春市派克经贸有限公司-55"
string(42) "1-0-0-常州格力博工具有限公司-55"
string(48) "1-0-0-东莞市乐丰电器科技有限公司-55"
string(48) "1-0-0-广东远华新材料实业有限公司-55"
string(45) "1-0-0-广明源光科技股份有限公司-55"
string(45) "1-0-0-杭州中艺实业股份有限公司-55"
string(45) "1-0-0-湖南唯想电子科技有限公司-55"
string(45) "1-0-0-丽江中源绿色食品有限公司-55"
string(42) "1-0-0-宁波锦灏进出口有限公司-55"
string(39) "1-0-0-盘锦万康实业有限公司-55"
string(48) "1-0-0-深圳市数博环球电子有限公司-55"
string(45) "1-0-0-珠海科利德进出口有限公司-55"
string(48) "1-0-0-阿特斯阳光电力集团有限公司-55"
string(39) "1-0-0-安徽顺信线缆有限公司-55"
string(48) "1-0-0-安阳市猴王电器有限责任公司-55"
string(50) "1-0-0-保利新能源科技(北京)有限公司-56"
string(45) "1-0-0-北京宝顺瑞赢商贸有限公司-56"
string(45) "1-0-0-广东广福电子实业有限公司-56"
string(51) "1-0-0-广东乐心医疗电子股份有限公司-56"
string(57) "1-0-0-哈尔滨华强普洛斯贸易有限责任公司-56"
string(39) "1-0-0-海南浙经对外贸易公司-56"
string(53) "1-0-0-嘉华宝利国际贸易(北京)有限公司-56"
string(45) "1-0-0-江门市华展进出口有限公司-56"
string(45) "1-0-0-江门市锶源进出口有限公司-56"
string(48) "1-0-0-宁波奥克斯电气股份有限公司-56"
string(39) "1-0-0-青岛莱特电器有限公司-56"
string(48) "1-0-0-清远市卓然安纳贸易有限公司-56"
string(48) "1-0-0-清远市卓悦家居实业有限公司-56"
string(42) "1-0-0-汕头市新裕实业有限公司-56"
string(48) "1-0-0-上海法得莱国际贸易有限公司-56"
string(45) "1-0-0-台州中抽纱进出口有限公司-57"
string(45) "1-0-0-同江市东晨进出口有限公司-57"
string(42) "1-0-0-浙江科瑞普电气有限公司-57"
string(39) "1-0-0-浙江省黄岩进出口公司-57"
string(51) "1-0-0-浙江星星冷链集成股份有限公司-57"
string(48) "1-0-0-镇江市汉丰国际贸易有限公司-57"
string(45) "1-0-0-中山市琪朗灯饰厂有限公司-57"
string(51) "1-0-0-珠海经济特区金品电器有限公司-57"
string(45) "1-0-0-彩迅工业（深圳）有限公司-57"
string(54) "1-0-0-成都保利安国际贸易技术有限公司-57"
string(48) "1-0-0-丹阳市祥辉塑料制品有限公司-57"
string(57) "1-0-0-佛山市顺德区悍高五金制品有限公司-57"
string(45) "1-0-0-广东亿龙电器科技有限公司-57"
string(45) "1-0-0-广州市年盈进出口有限公司-57"
string(51) "1-0-0-广州市时保力电子科技有限公司-57"
string(42) "1-0-0-广州市伊东机电有限公司-58"
string(57) "1-0-0-杭州萧山国际经济技术合作有限公司-58"
string(57) "1-0-0-河南省轻工业品进出口集团有限公司-58"
string(45) "1-0-0-湖北达鑫电子科技有限公司-58"
string(47) "1-0-0-联合家纺贸易(北京)有限公司-58"
string(39) "1-0-0-南昌宏众实业有限公司-58"
string(42) "1-0-0-台州市航宇塑胶有限公司-58"
string(42) "1-0-0-武汉市福臣贸易有限公司-58"
string(54) "1-0-0-云南物产进出口集团股份有限公司-58"
string(57) "1-0-0-安徽省五矿发展进出口有限责任公司-58"
string(60) "1-0-0-长方集团康铭盛（深圳）科技有限公司-58"
string(45) "1-0-0-长沙湘佳金属材料有限公司-58"
string(42) "1-0-0-常州市富江车业有限公司-58"
string(45) "1-0-0-东莞乐域光电科技有限公司-58"
string(45) "1-0-0-东莞美哲塑胶制品有限公司-58"
string(54) "1-0-0-东莞市净诺环境科技股份有限公司-59"
string(60) "1-0-0-佛山市南海拓迪文进出口贸易有限公司-59"
string(51) "1-0-0-广东爱尼智能家电制造有限公司-59"
string(39) "1-0-0-国光电器股份有限公司-59"
string(51) "1-0-0-哈尔滨市宇宸汽车销售有限公司-59"
string(45) "1-0-0-杭州余杭对外贸易有限公司-59"
string(39) "1-0-0-河南悦源贸易有限公司-59"
string(51) "1-0-0-密山市才琳娜经济贸易有限公司-59"
string(39) "1-0-0-厦门国顿实业有限公司-59"
string(45) "1-0-0-上海贝士电气股份有限公司-59"
string(42) "1-0-0-上海铭城进出口有限公司-59"
string(51) "1-0-0-四川天喜车用空调股份有限公司-59"
string(48) "1-0-0-天津服装进出口股份有限公司-59"
string(48) "1-0-0-温州市轻工艺进出口有限公司-59"
string(39) "1-0-0-营口丰谊贸易有限公司-59"
string(34) "1-0-0-CETAFORM HAND TOOLS CORP.-60"
string(51) "1-0-0-福玛特机器人科技股份有限公司-60"
string(54) "1-0-0-广东长城建设贸易进出口有限公司-60"
string(39) "1-0-0-广东久量股份有限公司-60"
string(39) "1-0-0-广州拓丰贸易有限公司-60"
string(39) "1-0-0-合肥达普电气有限公司-60"
string(57) "1-0-0-吉林省绪成机械进出口有限责任公司-60"
string(51) "1-0-0-江门市新恒星厨房用品有限公司-60"
string(45) "1-0-0-江西美的贵雅照明有限公司-60"
string(33) "1-0-0-金华市永强车辆厂-60"
string(41) "1-0-0-迈科实业(深圳)有限公司-60"
string(39) "1-0-0-梅州国威电子有限公司-60"
string(48) "1-0-0-南京金特力贸易实业有限公司-60"
string(51) "1-0-0-上海荣泰健康科技股份有限公司-60"
string(51) "1-0-0-深圳市康凯斯信息技术有限公司-60"
string(48) "1-0-0-中国矿产进出口有限责任公司-61"
string(39) "1-0-0-重庆隆创贸易有限公司-61"
string(51) "1-0-0-珠海经济特区全达实业有限公司-61"
string(42) "1-0-0-北京南光兆利进出口公司-61"
string(48) "1-0-0-北京市纺织品进出口有限公司-61"
string(48) "1-0-0-常州市神霸车辆配件有限公司-61"
string(45) "1-0-0-成都市安韩联科技有限公司-61"
string(54) "1-0-0-佛山市格林盈璐电器科技有限公司-61"
string(48) "1-0-0-佛山市三水东盛贸易有限公司-61"
string(48) "1-0-0-佛山市威王日用电器有限公司-61"
string(51) "1-0-0-广州鹏辉能源科技股份有限公司-61"
string(48) "1-0-0-广州市聚英电器实业有限公司-61"
string(48) "1-0-0-哈尔滨今天伟业科技有限公司-61"
string(42) "1-0-0-哈尔滨威普贸易有限公司-61"
string(48) "1-0-0-黑龙江杰世经济贸易有限公司-61"
string(45) "1-0-0-喀什新切国际贸易有限公司-62"
string(39) "1-0-0-美高电气科技有限公司-62"
string(45) "1-0-0-南宁市东贝进出口有限公司-62"
string(48) "1-0-0-宁波海斯曼科技发展有限公司-62"
string(42) "1-0-0-厦门斯韦特工贸有限公司-62"
string(45) "1-0-0-上海益森园艺用品有限公司-62"
string(45) "1-0-0-深圳市东吉联电子有限公司-62"
string(42) "1-0-0-深圳市豪美照明有限公司-62"
string(48) "1-0-0-深圳市联创科技集团有限公司-62"
string(48) "1-0-0-深圳市赛兔数码科技有限公司-62"
string(48) "1-0-0-中经东源进出口有限责任公司-62"
string(45) "1-0-0-重庆泓浦汽车工业有限公司-62"
string(39) "1-0-0-卓力电器集团有限公司-62"
string(50) "1-0-0-艾蒙特(厦门)机电设备有限公司-62"
string(48) "1-0-0-安徽省言信电子科技有限公司-62"
string(48) "1-0-0-长虹华意压缩机股份有限公司-63"
string(48) "1-0-0-成都柯迈克机械设备有限公司-63"
string(39) "1-0-0-慈溪宏一电子有限公司-63"
string(33) "1-0-0-大新责任有限公司-63"
string(48) "1-0-0-东莞市台德智慧科技有限公司-63"
string(45) "1-0-0-广东亚新汽车传动有限公司-63"
string(42) "1-0-0-广州市源嘉贸易有限公司-63"
