创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(37) "1-0-0-阿波罗(中国)有限公司-8"
string(47) "1-0-0-广东富麒供应链管理有限公司-8"
string(41) "1-0-0-宁波宁电进出口有限公司-8"
string(56) "1-0-0-辽宁辽冶美枫国际贸易有限责任公司-8"
string(44) "1-0-0-温州陆港国际贸易有限公司-8"
string(50) "1-0-0-德艺文化创意集团股份有限公司-8"
string(44) "1-0-0-广州北方机电发展有限公司-8"
string(38) "1-0-0-中国包装进出口总公司-8"
string(53) "1-0-0-中国机械进出口上海浦东有限公司-8"
string(41) "1-0-0-广东智拓进出口有限公司-8"
string(38) "1-0-0-上海溢鎏实业有限公司-8"
string(59) "1-0-0-浙江东方集团轻工业品进出口有限公司-9"
string(56) "1-0-0-广东省五金矿产进出口集团有限公司-9"
string(47) "1-0-0-江苏爱斯特淋浴设备有限公司-9"
string(50) "1-0-0-广东省东莞丝绸进出口有限公司-9"
string(44) "1-0-0-上海多米谷进出口有限公司-9"
string(41) "1-0-0-佛山国贸进出口有限公司-9"
string(38) "1-0-0-风神轮胎股份有限公司-9"
string(48) "1-0-0-APPLIED D.B. Public CO., LTD. (Thailand)-9"
string(41) "1-0-0-宁波中包进出口有限公司-9"
string(44) "1-0-0-上海健生实业股份有限公司-9"
string(56) "1-0-0-温州市土产畜产品对外贸易有限公司-9"
string(41) "1-0-0-常州大亚进出口有限公司-9"
string(44) "1-0-0-四川若阳机电设备有限公司-9"
string(41) "1-0-0-浙江福士达集团有限公司-9"
string(38) "1-0-0-中钢集团深圳有限公司-9"
string(51) "1-0-0-上海外经贸怡特进出口有限公司-10"
string(48) "1-0-0-中国仪器进出口集团有限公司-10"
string(48) "1-0-0-福建闽迈特五矿有限责任公司-10"
string(51) "1-0-0-广东省中山食品进出口有限公司-10"
string(45) "1-0-0-珠海格力电器股份有限公司-10"
string(39) "1-0-0-泉州五矿集团有限公司-10"
string(48) "1-0-0-浙江凯喜雅国际股份有限公司-10"
string(51) "1-0-0-中国机械国际合作股份有限公司-10"
string(42) "1-0-0-福建华闽进出口有限公司-10"
string(53) "1-0-0-中国机械设备工程(河南)有限公司-10"
string(45) "1-0-0-东莞市嘉业进出口有限公司-10"
string(42) "1-0-0-河北机械进出口有限公司-10"
string(54) "1-0-0-广东省顺德纺织品进出口有限公司-10"
string(42) "1-0-0-珠海市和鸿企业有限公司-10"
string(51) "1-0-0-东莞市建筑材料进出口有限公司-10"
string(54) "1-0-0-河北轻工进出口集团股份有限公司-11"
string(45) "1-0-0-南昌金泰国际贸易有限公司-11"
string(51) "1-0-0-北京市国贸成京发国际贸易公司-11"
string(48) "1-0-0-霍尔果斯荣盛达商贸有限公司-11"
string(45) "1-0-0-安徽省徽商进出口有限公司-11"
string(51) "1-0-0-广东省顺德土产进出口有限公司-11"
string(45) "1-0-0-浙江五金矿产控股有限公司-11"
string(51) "1-0-0-广东省农垦集团进出口有限公司-11"
string(54) "1-0-0-上海农工商集团国际贸易有限公司-11"
string(45) "1-0-0-深圳市金沃德科技有限公司-11"
string(53) "1-0-0-中设(湖北)机械设备工程有限公司-11"
string(45) "1-0-0-佛山市新中卫经贸有限公司-11"
string(48) "1-0-0-江苏省海外企业集团有限公司-11"
string(25) "1-0-0-BEREZINA A.V. IE-11"
string(45) "1-0-0-安徽美邦工贸有限责任公司-11"
string(45) "1-0-0-青岛富申莱工艺品有限公司-12"
string(39) "1-0-0-大连红阳建材有限公司-12"
string(54) "1-0-0-广东宏远集团进出口贸易有限公司-12"
string(45) "1-0-0-大连金剑国际贸易有限公司-12"
string(48) "1-0-0-广州市佳铂贸易发展有限公司-12"
string(48) "1-0-0-南京科迪尔国际贸易有限公司-12"
string(63) "1-0-0-广东省中山食品水产进出口集团有限公司-12"
string(51) "1-0-0-安徽江淮汽车集团股份有限公司-12"
string(48) "1-0-0-广东祈顺丝绸进出口有限公司-12"
string(48) "1-0-0-汇信进出口集团股份有限公司-12"
string(41) "1-0-0-铭薪电子(深圳)有限公司-12"
string(45) "1-0-0-北京富海华进出口有限公司-12"
string(48) "1-0-0-燕加隆家居建材股份有限公司-12"
string(42) "1-0-0-浙江菲格尔卫浴有限公司-12"
string(45) "1-0-0-浙江经协国际经贸有限公司-12"
string(45) "1-0-0-大连汇程国际贸易有限公司-13"
string(48) "1-0-0-武汉华悦诚国际贸易有限公司-13"
string(51) "1-0-0-广州蒙娜丽莎卫浴股份有限公司-13"
string(51) "1-0-0-宁波市慈溪进出口控股有限公司-13"
string(42) "1-0-0-宁波中基进出口有限公司-13"
string(43) "1-0-0-深圳创维-RGB电子有限公司-13"
string(48) "1-0-0-四川荣丰进出口有限责任公司-13"
string(45) "1-0-0-安徽环瑞电热器材有限公司-13"
string(42) "1-0-0-江门市安豪贸易有限公司-13"
string(45) "1-0-0-西安对外贸易经济开发公司-13"
